month	automated_pageviews	desktop	interactions	mobileweb	previews_seen	total_pageview	unique_devices
2022-11-01	3125762412.0	6639885018	21036935393.0	12391464131	1725950964.0	19310984429	1602482850.0
2022-12-01	1514615836.0	6245363227	18534306226.0	10336993739	1645032335.0	16889273891	1580336784.0
2023-01-01	2058892134.0	6655879078	20529099393.0	11696154738	1853752746.0	18675346647	1623196487.0
2023-02-01	2484893549.0	5809895389	18961405065.0	11232689898	1643540292.0	17317864773	1556623574.0
2023-03-01	2851128245.0	6554145894	21108268743.0	12446354588	1808850721.0	19299418022	1666366224.0
2023-04-01	1835848334.0	5903055420	18578362854.0	10744497885	1635800331.0	16942562523	1653132645.0
2023-05-01	2788857014.0	6136981565	20868257738.0	12693678053	1738921609.0	19129336129	1596437525.0
2023-06-01	2535725851.0	5642808989	19569770447.0	12093286214	1548887171.0	18020883276	1522909597.0
2023-07-01	2765634108.0	5557997700	20108815380.0	12691626287	1547944035.0	18560871345	1515395308.0
2023-08-01	2979970901.0	5671123170	20544786601.0	12970986524	1590671420.0	18954115181	1528965588.0
2023-09-01	3328086751.0	5984580687	20157139310.0	12333595093	1550226417.0	18606912893	1534721647.0
2023-10-01	3613770772.0	6368773466	21791307413.0	13411721300	1705920643.0	20085386770	1689454519.0
2023-11-01	3255598806.0	6055028201	20654578605.0	12637797208	1665965688.0	18988612917	1664233478.0
2023-12-01	3248825989.0	5978872972	20749305065.0	12898799837	1553438687.0	19195866378	1632367345.0
2024-01-01	4906361548.0	8783820252	24659413523.0	13723802719	1817323906.0	22842089617	1629741546.0
